NPD_WELL_BORE_NAME,DATE,production_age_months,oil_volume,on_stream_hours,oil_per_on_stream_hour,water_cut_pct,gas_oil_ratio,oil_volume_lag_1,oil_volume_lag_2,oil_volume_lag_3,oil_volume_recent_mean_3,target_next_month_oil_volume,is_latest_available_origin
15/9-F-12,2010-08-01,30,30117.36,427.43334,70.46095187614519,64.52817095245615,144.31889946529176,64039.69,69617.37,77113.56,54591.47333333333,51312.93,False
15/9-F-12,2010-09-01,31,51312.93,644.74999,79.58577866748008,63.541069162642806,151.03816679343782,30117.36,64039.69,69617.37,48489.99333333334,51430.58,False
15/9-F-12,2010-10-01,32,51430.58,743.00001,69.22016057577173,65.93402349883372,150.5209009892558,51312.93,30117.36,64039.69,44286.956666666665,44468.45,False
15/9-F-12,2010-11-01,33,44468.45,690.33333,64.41591049935253,69.6883386353892,151.72729519468297,51430.58,51312.93,30117.36,49070.65333333333,45217.96,False
15/9-F-12,2010-12-01,34,45217.96,741.33333,60.99544991454788,71.11667327248739,152.82999188817894,44468.45,51430.58,51312.93,47038.996666666666,44746.55,False
15/9-F-12,2011-01-01,35,44746.55,743.5,60.183658372562206,72.31580065567425,152.50339724515072,45217.96,44468.45,51430.58,44810.98666666666,29157.49,False
15/9-F-12,2011-02-01,36,29157.49,557.24999,52.32389506189134,74.5197374118546,154.99369355867051,44746.55,45217.96,44468.45,39707.333333333336,37395.05,False
15/9-F-12,2011-03-01,37,37395.05,729.83334,51.237793548866925,75.17496003568905,154.03694365965546,29157.49,44746.55,45217.96,37099.69666666667,37819.72,False
15/9-F-12,2011-04-01,38,37819.72,717.91667,52.67981867589174,75.44430744578003,155.40730788065062,37395.05,29157.49,44746.55,34790.753333333334,37204.71,False
15/9-F-12,2011-05-01,39,37204.71,736.04167,50.54701590468377,76.26829581626026,155.9410163390603,37819.72,37395.05,29157.49,37473.16,22026.06,False
15/9-F-12,2011-06-01,40,22026.06,463.26667,47.54509967229026,77.19621698010654,154.90858419526688,37204.71,37819.72,37395.05,32350.16333333333,12462.42,False
15/9-F-12,2011-07-01,41,12462.42,245.24669,50.815854028447845,71.8997978125332,146.3400647707267,22026.06,37204.71,37819.72,23897.73,36380.15,False
15/9-F-12,2011-08-01,42,36380.15,651.49332,55.8411711727144,73.1283786049594,149.71121696859413,12462.42,22026.06,37204.71,23622.876666666667,29999.17,False
