NPD_WELL_BORE_NAME,YEAR_MONTH,oil_volume,water_volume,DATE,total_liquid_volume,water_cut_pct
15/9-F-12,2011-03,37395.05,113239.35,2011-03-01,150634.40000000002,75.17496003568905
15/9-F-12,2011-04,37819.72,116196.38,2011-04-01,154016.1,75.44430744578003
15/9-F-12,2011-05,37204.71,119567.47,2011-05-01,156772.18,76.26829581626026
15/9-F-12,2011-06,22026.06,74563.44,2011-06-01,96589.5,77.19621698010654
15/9-F-12,2011-07,12462.42,31887.510000000002,2011-07-01,44349.93,71.8997978125332
15/9-F-12,2011-08,36380.15,99004.87,2011-08-01,135385.02,73.1283786049594
15/9-F-12,2011-09,29999.17,110471.84,2011-09-01,140471.01,78.64387107346917
15/9-F-12,2011-10,12647.5,52875.8,2011-10-01,65523.3,80.69770600687085
15/9-F-12,2011-11,21789.05,75772.93,2011-11-01,97561.98,77.66645367385942
15/9-F-12,2011-12,18090.2,64676.69,2011-12-01,82766.89,78.14319228377434
15/9-F-12,2012-01,18217.85,63857.71,2012-01-01,82075.56,77.80356296076445
15/9-F-12,2012-02,27362.26,133954.93,2012-02-01,161317.19,83.03822425867942
15/9-F-12,2012-03,26679.88,142184.01,2012-03-01,168863.89,84.20036397361211
15/9-F-12,2012-04,24088.35,138112.43,2012-04-01,162200.78,85.14905415374697
15/9-F-12,2012-05,22415.15,140203.43,2012-05-01,162618.58,86.21611995382078
15/9-F-12,2012-06,20887.38,134081.24,2012-06-01,154968.62,86.5215422322274
15/9-F-12,2012-07,21206.94,140164.53,2012-07-01,161371.47,86.85830896874151
15/9-F-12,2012-08,8998.24,54786.62,2012-08-01,63784.86,85.89282785915027
15/9-F-12,2012-09,1013.9300000000001,4513.08,2012-09-01,5527.01,81.65499971955903
15/9-F-12,2012-10,19612.85,121317.43,2012-10-01,140930.28,86.08329593895648
15/9-F-12,2012-11,19018.88,134909.36,2012-11-01,153928.24,87.64432049635596
15/9-F-12,2012-12,16320.65,131667.43,2012-12-01,147988.08,88.97164555415544
15/9-F-12,2013-01,17408.57,139783.93,2013-01-01,157192.5,88.92531768373173
15/9-F-12,2013-02,15087.380000000001,126325.44,2013-02-01,141412.82,89.3309673055102
15/9-F-12,2013-03,6305.81,57120.76,2013-03-01,63426.57,90.05809395021677
15/9-F-12,2013-04,12351.34,102945.43,2013-04-01,115296.76999999999,89.28734950684222
15/9-F-12,2013-05,16313.4,147164.69,2013-05-01,163478.09,90.02104808051037
15/9-F-12,2013-06,11899.57,112559.07,2013-06-01,124458.64000000001,90.4389361799229
15/9-F-12,2013-07,11861.63,112172.58,2013-07-01,124034.21,90.43680771619378
15/9-F-12,2013-08,15147.18,152994.91,2013-08-01,168142.09,90.99144063214631
15/9-F-12,2013-09,9223.53,104678.41,2013-09-01,113901.94,91.90221869794316
15/9-F-12,2013-10,8305.01,137534.62,2013-10-01,145839.63,94.30538187734018
15/9-F-12,2013-11,7170.56,122993.19,2013-11-01,130163.75,94.49112368074829
15/9-F-12,2013-12,7079.5199999999995,125859.26,2013-12-01,132938.78,94.67460134657472
15/9-F-12,2014-01,4997.24,87030.26,2014-01-01,92027.5,94.56984053679605
15/9-F-12,2014-02,6101.4,110297.86,2014-02-01,116399.26,94.75821409861197
15/9-F-12,2014-03,6835.66,127351.18,2014-03-01,134186.84,94.90586409218669
15/9-F-12,2014-04,5892.01,141144.82,2014-04-01,147036.83000000002,95.99283390426739
15/9-F-12,2014-05,3237.7,88748.26,2014-05-01,91985.95999999999,96.48022372109831
15/9-F-12,2014-06,5751.2,152034.68,2014-06-01,157785.88,96.35506041478489
15/9-F-12,2014-07,5791.84,152314.38,2014-07-01,158106.22,96.33674121106685
15/9-F-12,2014-08,4448.49,126629.09,2014-08-01,131077.58,96.60621595241537
15/9-F-12,2014-09,5062.59,149375.78,2014-09-01,154438.37,96.72193509941862
15/9-F-12,2014-10,5385.61,155365.68,2014-10-01,160751.28999999998,96.64972517483376
15/9-F-12,2014-11,4495.0599999999995,114660.7,2014-11-01,119155.76,96.22757640923108
15/9-F-12,2014-12,0.0,0.0,2014-12-01,0.0,
15/9-F-12,2015-01,25712.55,11588.22,2015-01-01,37300.77,31.06697261209353
15/9-F-12,2015-02,19578.55,15115.5,2015-02-01,34694.05,43.56798932381777
15/9-F-12,2015-03,19341.43,19255.66,2015-03-01,38597.09,49.88889058734739
15/9-F-12,2015-04,19796.56,20808.06,2015-04-01,40604.62,51.24554792040905
15/9-F-12,2015-05,16996.48,25200.83,2015-05-01,42197.31,59.72141352138324
15/9-F-12,2015-06,19536.3,32902.68,2015-06-01,52438.979999999996,62.74469869551239
15/9-F-12,2015-07,19157.45,36480.53,2015-07-01,55637.979999999996,65.56767517440424
15/9-F-12,2015-08,13473.27,31629.02,2015-08-01,45102.29,70.12730395729352
15/9-F-12,2015-09,12494.51,35065.36,2015-09-01,47559.87,73.72888109239996
15/9-F-12,2015-10,11888.63,38151.12,2015-10-01,50039.75,76.24162790581488
15/9-F-12,2015-11,11369.48,37662.5,2015-11-01,49031.979999999996,76.81211323711587
15/9-F-12,2015-12,10855.97,37288.0,2015-12-01,48143.97,77.45102865426345
15/9-F-12,2016-01,9494.98,38969.86,2016-01-01,48464.84,80.40851883551045
15/9-F-12,2016-02,7644.12,35253.46,2016-02-01,42897.58,82.18053326085061
15/9-F-12,2016-03,7359.93,40507.21,2016-03-01,47867.14,84.62425371559696
15/9-F-12,2016-04,6152.17,37126.04,2016-04-01,43278.21,85.784601535045
15/9-F-12,2016-05,5865.13,36147.78,2016-05-01,42012.909999999996,86.03969589347655
15/9-F-12,2016-06,5408.31,34608.45,2016-06-01,40016.759999999995,86.48488783199839
15/9-F-12,2016-07,4533.82,29940.18,2016-07-01,34474.0,86.84858153971109
15/9-F-12,2016-08,1442.03,10937.14,2016-08-01,12379.17,88.35115763011575
15/9-F-12,2016-09,0.0,0.0,2016-09-01,0.0,
15/9-F-14,2008-02,0.0,0.0,2008-02-01,0.0,
15/9-F-14,2008-03,0.0,0.0,2008-03-01,0.0,
15/9-F-14,2008-04,0.0,0.0,2008-04-01,0.0,
15/9-F-14,2008-05,0.0,0.0,2008-05-01,0.0,
15/9-F-14,2008-06,0.0,0.0,2008-06-01,0.0,
15/9-F-14,2008-07,51285.08,126.17,2008-07-01,51411.25,0.2454132120887938
15/9-F-14,2008-08,67621.2,222.53,2008-08-01,67843.73,0.3280037816316998
15/9-F-14,2008-09,114596.26,275.73,2008-09-01,114871.98999999999,0.2400324047663839
15/9-F-14,2008-10,142817.06,101.25,2008-10-01,142918.31,0.07084466643917074
15/9-F-14,2008-11,104409.61,189.89,2008-11-01,104599.5,0.18154006472306272
15/9-F-14,2008-12,110199.28,66.54,2008-12-01,110265.81999999999,0.060345082456195416
15/9-F-14,2009-01,115572.66,977.79,2009-01-01,116550.45,0.8389414197885979
15/9-F-14,2009-02,113880.98,2529.24,2009-02-01,116410.22,2.172695833750679
15/9-F-14,2009-03,90644.44,1678.17,2009-03-01,92322.61,1.8177237406958056
15/9-F-14,2009-04,86944.06,246.47,2009-04-01,87190.53,0.2826797818524558
15/9-F-14,2009-05,116175.04,3440.05,2009-05-01,119615.09,2.8759331285041045
15/9-F-14,2009-06,86654.03,5731.18,2009-06-01,92385.20999999999,6.203568731401921
15/9-F-14,2009-07,64871.82,6772.73,2009-07-01,71644.55,9.453238243523058
15/9-F-14,2009-08,112493.5,20793.78,2009-08-01,133287.28,15.600723489893408
15/9-F-14,2009-09,90349.8,15274.84,2009-09-01,105624.64,14.461436270930722
15/9-F-14,2009-10,96707.32,26099.06,2009-10-01,122806.38,21.25220204357461
15/9-F-14,2009-11,98043.5,39016.45,2009-11-01,137059.95,28.466703803700494
15/9-F-14,2009-12,89514.35,56173.42,2009-12-01,145687.77000000002,38.55740258773952
15/9-F-14,2010-01,82221.25,70004.16,2010-01-01,152225.41,45.98717126135512
15/9-F-14,2010-02,62092.98,62000.25,2010-02-01,124093.23000000001,49.96263696254823
15/9-F-14,2010-03,66989.25,64560.85,2010-03-01,131550.1,49.07700564271711
15/9-F-14,2010-04,73035.81,69865.31,2010-04-01,142901.12,48.890666497225496
15/9-F-14,2010-05,87809.28,85315.44,2010-05-01,173124.72,49.27975623585124
