NPD_WELL_BORE_NAME,YEAR_MONTH,water_injected,on_stream_hours,DATE
15/9-F-5,2010-03,159955.2920466948,571.00834,2010-03-01
15/9-F-5,2010-04,143182.2273758289,449.39167999999995,2010-04-01
15/9-F-5,2010-05,252211.7376283334,744.0,2010-05-01
15/9-F-5,2010-06,217995.58273249998,716.6666700000001,2010-06-01
15/9-F-5,2010-07,213816.93954770832,743.1666700000001,2010-07-01
15/9-F-5,2010-08,120306.47775573765,447.14166000000006,2010-08-01
15/9-F-5,2010-09,163185.2602433154,695.41667,2010-09-01
15/9-F-5,2010-10,200667.24969863024,717.58332,2010-10-01
15/9-F-5,2010-11,188435.81656796197,703.9166700000001,2010-11-01
15/9-F-5,2010-12,193372.73180145834,732.66667,2010-12-01
15/9-F-5,2011-01,189041.11951854164,744.0,2011-01-01
15/9-F-5,2011-02,139466.55643039258,532.74998,2011-02-01
15/9-F-5,2011-03,184592.18769070925,728.0000100000001,2011-03-01
15/9-F-5,2011-04,188899.23261028365,700.83334,2011-04-01
15/9-F-5,2011-05,191438.0835422024,736.50001,2011-05-01
15/9-F-5,2011-06,115810.71232001689,461.67501,2011-06-01
15/9-F-5,2011-07,60234.67072875,242.50835,2011-07-01
15/9-F-5,2011-08,161568.57176961264,644.49168,2011-08-01
15/9-F-5,2011-09,185636.23752596907,688.5000000000001,2011-09-01
15/9-F-5,2011-10,86121.09825208333,328.63333,2011-10-01
15/9-F-5,2011-11,111726.55858104167,475.41666,2011-11-01
15/9-F-5,2011-12,106760.27239479167,438.8,2011-12-01
15/9-F-5,2012-01,96145.24973395834,423.99999,2012-01-01
15/9-F-5,2012-02,144177.13334875,690.91666,2012-02-01
15/9-F-5,2012-03,144901.31179381345,737.2083399999999,2012-03-01
15/9-F-5,2012-04,152913.710860625,720.0,2012-04-01
15/9-F-5,2012-05,157759.4475929167,732.33334,2012-05-01
15/9-F-5,2012-06,147174.91634791665,710.6666700000001,2012-06-01
15/9-F-5,2012-07,155141.689089375,740.3333299999999,2012-07-01
15/9-F-5,2012-08,65973.97081895833,309.12499,2012-08-01
15/9-F-5,2012-09,8067.451343125,37.283339999999995,2012-09-01
15/9-F-5,2012-10,118485.32129791666,538.16666,2012-10-01
15/9-F-5,2012-11,168629.70252166668,720.0,2012-11-01
15/9-F-5,2012-12,154926.22132708333,697.8333500000001,2012-12-01
15/9-F-5,2013-01,159939.686388875,732.25,2013-01-01
15/9-F-5,2013-02,147798.46481812498,672.0,2013-02-01
15/9-F-5,2013-03,85998.06514895834,400.46668,2013-03-01
15/9-F-5,2013-04,121656.595674375,561.16832,2013-04-01
15/9-F-5,2013-05,170935.465968125,681.3,2013-05-01
15/9-F-5,2013-06,138629.205471875,573.24999,2013-06-01
15/9-F-5,2013-07,131248.92144416666,654.2916699999998,2013-07-01
15/9-F-5,2013-08,185791.65160104164,687.05,2013-08-01
15/9-F-5,2013-09,141322.97444104168,608.925,2013-09-01
15/9-F-5,2013-10,167622.05163270835,654.4166799999999,2013-10-01
15/9-F-5,2013-11,167983.46090354165,681.6666700000001,2013-11-01
15/9-F-5,2013-12,169674.00544562496,676.2500000000001,2013-12-01
15/9-F-5,2014-01,139161.964208125,661.1666700000001,2014-01-01
15/9-F-5,2014-02,139875.10921729167,580.60833,2014-02-01
15/9-F-5,2014-03,168354.40034482788,691.4166700000001,2014-03-01
15/9-F-5,2014-04,170365.9451083333,707.5416700000001,2014-04-01
15/9-F-5,2014-05,155443.5300977083,606.33334,2014-05-01
15/9-F-5,2014-06,170548.08144937502,699.08333,2014-06-01
15/9-F-5,2014-07,149633.53732729168,742.33334,2014-07-01
15/9-F-5,2014-08,122109.851845,606.37964,2014-08-01
15/9-F-5,2014-09,160662.46833416665,691.49999,2014-09-01
15/9-F-5,2014-10,166833.31391160836,741.83334,2014-10-01
15/9-F-5,2014-11,146406.90984041666,660.55833,2014-11-01
15/9-F-5,2014-12,95714.36677916667,394.32499999999993,2014-12-01
15/9-F-5,2015-01,116851.66232979167,702.6333400000001,2015-01-01
15/9-F-5,2015-02,122957.75482979167,583.88333,2015-02-01
15/9-F-5,2015-03,127803.68713271737,744.0,2015-03-01
15/9-F-5,2015-04,146997.13833604165,707.6666700000001,2015-04-01
15/9-F-5,2015-05,135253.88426375,744.0,2015-05-01
15/9-F-5,2015-06,146025.80091291666,717.45,2015-06-01
15/9-F-5,2015-07,117659.77035020833,739.675,2015-07-01
15/9-F-5,2015-08,113141.00622416667,606.1997200000001,2015-08-01
15/9-F-5,2015-09,128260.87112729167,711.7337600000001,2015-09-01
15/9-F-5,2015-10,134374.87116976667,724.40764,2015-10-01
15/9-F-5,2015-11,134602.9409035417,642.93334,2015-11-01
15/9-F-5,2015-12,145383.33062729164,739.24999,2015-12-01
15/9-F-5,2016-01,148394.55609979166,721.41666,2016-01-01
15/9-F-5,2016-02,164188.597139375,691.2500200000001,2016-02-01
15/9-F-5,2016-03,139810.591270625,743.0,2016-03-01
15/9-F-5,2016-04,20226.958789999997,99.57500999999999,2016-04-01
15/9-F-5,2016-09,0.0,0.0,2016-09-01
